branch,host,compiler,c_version,mpi,m_version,o_g,os,netcdf_c,netcdf_f,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified,netcdf
develop,cheyenne,intel/v18.0.5,18.0.5,openmpi/v3.1.4,3.1.4,g,Linux,4.6.3,4.4.4,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/304e8d3051e5278f62637621c36692819b56f069/develop/cheyenne/intel/18.0.5/g/openmpi/3.1.4),2022-03-09 16:09:52.942116,c4.6.3 f3.1.4
develop,chianti,gfortran/v9.3.0,9.3.0,openmpi/v4.0.5-gcc-9.3.0,4.0.5-gcc-9.3.0,O,Linux,4.8.0,4.5.3,pass,13685,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/eaf10ed035936d44cf25b064f7404fc684e389ce/develop/chianti/gfortran/9.3.0/O/openmpi/4.0.5-gcc-9.3.0),2022-03-09 16:09:54.577155,c4.8.0 f4.0.5-gcc-9.3.0
develop,chianti,gfortran/v9.3.0,9.3.0,openmpi/v4.0.5-gcc-9.3.0,4.0.5-gcc-9.3.0,g,Linux,4.8.0,4.5.3,pass,13685,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b2dca0d15f7c20a928b1cd64b645e2c1b3b24e7e/develop/chianti/gfortran/9.3.0/g/openmpi/4.0.5-gcc-9.3.0),2022-03-09 16:09:54.577172,c4.8.0 f4.0.5-gcc-9.3.0
develop,chianti,intel/v2021.2,2021.2,intelmpi/v2021.2.0-gcc-9.3.0,2021.2.0-gcc-9.3.0,O,Linux,4.8.0,4.5.3,pass,13685,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/94307c80b66d930192cef352d1d62762861b5046/develop/chianti/intel/2021.2/O/intelmpi/2021.2.0-gcc-9.3.0),2022-03-09 16:09:54.577177,c4.8.0 f2021.2.0-gcc-9.3.0
develop,chianti,intel/v2021.2,2021.2,intelmpi/v2021.2.0-gcc-9.3.0,2021.2.0-gcc-9.3.0,g,Linux,4.8.0,4.5.3,pass,13685,0,49,0,80,0,44,6,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/07fa5713adf0884b343bc19a6f459919e3c2f47c/develop/chianti/intel/2021.2/g/intelmpi/2021.2.0-gcc-9.3.0),2022-03-09 16:09:54.577175,c4.8.0 f2021.2.0-gcc-9.3.0
develop,discover,gfortran/v10.1.0,10.1.0,intelmpi/v19.1.3.304,19.1.3.304,O,Linux,N/A,N/A,pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ad39ac7baeea10ca23a3348eba92d274cdb07de1/develop/discover/gfortran/10.1.0/O/intelmpi/19.1.3.304),2022-03-09 16:09:57.934401,cN/A f19.1.3.304
develop,discover,gfortran/v10.1.0,10.1.0,intelmpi/v19.1.3.304,19.1.3.304,g,Linux,N/A,N/A,pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/32fd36f92e4184ccc5efc07af03f25c25c59be4f/develop/discover/gfortran/10.1.0/g/intelmpi/19.1.3.304),2022-03-09 16:09:57.934398,cN/A f19.1.3.304
develop,discover,gfortran/v8.3.0,8.3.0,intelmpi/v19.1.3.304,19.1.3.304,O,Linux,N/A,N/A,pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9761fa05483f8b5a3054b7b370856baedb9b5d27/develop/discover/gfortran/8.3.0/O/intelmpi/19.1.3.304),2022-03-09 16:09:57.934393,cN/A f19.1.3.304
develop,discover,gfortran/v8.3.0,8.3.0,intelmpi/v19.1.3.304,19.1.3.304,g,Linux,N/A,N/A,pass,13670,15,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c8d83b6a17c64f1707a26fa21163d159b7dc1282/develop/discover/gfortran/8.3.0/g/intelmpi/19.1.3.304),2022-03-09 16:09:57.934396,cN/A f19.1.3.304
develop,discover,gfortran/v8.3.0,8.3.0,mpiuni/vnone,none,O,Linux,N/A,N/A,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2bbf82bc19154b42c3c39baa7c5d0242589ff0c7/develop/discover/gfortran/8.3.0/O/mpiuni/none),2022-03-09 16:09:57.934407,cN/A fnone
develop,discover,gfortran/v8.3.0,8.3.0,mpiuni/vnone,none,g,Linux,N/A,N/A,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/73eb9d89cd2d7055748bafd98704c0e1fead177e/develop/discover/gfortran/8.3.0/g/mpiuni/none),2022-03-09 16:09:57.934384,cN/A fnone
develop,discover,gfortran/v8.3.0,8.3.0,mpt/v2.17,2.17,O,Linux,N/A,N/A,pass,13685,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/04dac2e2e8258f3eaa7fea8c5aec86189f6c4e2e/develop/discover/gfortran/8.3.0/O/mpt/2.17),2022-03-09 16:09:57.934362,cN/A f2.17
develop,discover,gfortran/v8.3.0,8.3.0,mpt/v2.17,2.17,g,Linux,N/A,N/A,pass,13685,0,49,0,80,0,46,4,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7256f2b3eb0582033a729a32b60fd1ea48cc9887/develop/discover/gfortran/8.3.0/g/mpt/2.17),2022-03-09 16:09:57.934403,cN/A f2.17
develop,discover,intel/v2020,2020,intelmpi/v19.1.3.304,19.1.3.304,O,Linux,4.8.0,4.5.4,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/90c684652fd9268373b5b9981cb9114dbb59937f/develop/discover/intel/2020/O/intelmpi/19.1.3.304),2022-03-09 16:09:57.934410,c4.8.0 f19.1.3.304
develop,discover,intel/v2020,2020,intelmpi/v19.1.3.304,19.1.3.304,g,Linux,4.8.0,4.5.4,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f2a2e230482a270bd41ee9a13990c4f3c01ca1c9/develop/discover/intel/2020/g/intelmpi/19.1.3.304),2022-03-09 16:09:57.934380,c4.8.0 f19.1.3.304
develop,discover,intel/v2020,2020,mpt/v2.17,2.17,O,Linux,4.8.0,4.5.4,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2fe6d4c5b03d88540e5b382d0aa2940c3172ec70/develop/discover/intel/2020/O/mpt/2.17),2022-03-09 16:09:57.934388,c4.8.0 f2.17
develop,discover,intel/v2020,2020,mpt/v2.17,2.17,g,Linux,4.8.0,4.5.4,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3242f363d0050c4e9768a6431f2b2bcb671fe678/develop/discover/intel/2020/g/mpt/2.17),2022-03-09 16:09:57.934386,c4.8.0 f2.17
develop,discover,pgi/v2020,2020,mpiuni/vnone,none,O,Linux,N/A,N/A,pass,11536,622,6,2,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/89d0146bca8d517116576edd448a0f3b57186341/develop/discover/pgi/2020/O/mpiuni/none),2022-03-09 16:09:57.934405,cN/A fnone
develop,discover,pgi/v2020,2020,mpiuni/vnone,none,g,Linux,N/A,N/A,pass,11536,622,4,4,40,3,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8c0f55d16b36babf5a49929ba432155467716e1d/develop/discover/pgi/2020/g/mpiuni/none),2022-03-09 16:09:57.934391,cN/A fnone
develop,gaea,gfortran/v8.3.0,8.3.0,mpi/v7.7.11,7.7.11,g,Unicos,4.6.3,4.4.5,pass,13684,1,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6cdf6024af84025cf69a1fc529cf82b8709784c9/develop/gaea/gfortran/8.3.0/g/mpi/7.7.11),2022-03-09 16:10:00.754289,c4.6.3 f7.7.11
develop,gaea,gfortran/v8.3.0,8.3.0,mpiuni/vnone,none,O,Unicos,4.6.3,4.4.5,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/08be4f97071ce106dc8f7e0eb40797b131b6e75e/develop/gaea/gfortran/8.3.0/O/mpiuni/none),2022-03-09 16:10:00.754271,c4.6.3 fnone
develop,gaea,gfortran/v8.3.0,8.3.0,mpiuni/vnone,none,g,Unicos,4.6.3,4.4.5,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2f447abad16f420d748ba6ee605e70f12964aba6/develop/gaea/gfortran/8.3.0/g/mpiuni/none),2022-03-09 16:10:00.754285,c4.6.3 fnone
develop,gaea,intel/v2019.5,2019.5,mpi/v7.7.11,7.7.11,O,Unicos,4.6.3,4.4.5,pass,13670,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/411dfe2c77146e3a7c1ef8ac73b5b8262bc9f424/develop/gaea/intel/2019.5/O/mpi/7.7.11),2022-03-09 16:10:00.754282,c4.6.3 f7.7.11
develop,gaea,intel/v2019.5,2019.5,mpi/v7.7.11,7.7.11,g,Unicos,4.6.3,4.4.5,pass,13670,15,49,0,80,0,47,3,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c38be081d5a929bb03e7b1af779dbd996dd3bba2/develop/gaea/intel/2019.5/g/mpi/7.7.11),2022-03-09 16:10:00.754280,c4.6.3 f7.7.11
develop,gaea,intel/v2019.5,2019.5,mpiuni/vnone,none,O,Unicos,4.6.3,4.4.5,pass,12143,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bdf2479cf655cb8fbad69a09c3ff6e2c745fab8c/develop/gaea/intel/2019.5/O/mpiuni/none),2022-03-09 16:10:00.754276,c4.6.3 fnone
develop,gaea,intel/v2019.5,2019.5,mpiuni/vnone,none,g,Unicos,4.6.3,4.4.5,pass,12143,15,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5d18d54f2243611308bf04733c99393929899dcd/develop/gaea/intel/2019.5/g/mpiuni/none),2022-03-09 16:10:00.754287,c4.6.3 fnone
develop,hera,gfortran/v9.2.0,9.2.0,mpiuni/vnone,none,O,Linux,4.7.2,4.5.2,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/64a2ea5bc0ebc245952154fcaff45337f7cb6fba/develop/hera/gfortran/9.2.0/O/mpiuni/none),2022-03-09 16:10:03.485721,c4.7.2 fnone
develop,hera,gfortran/v9.2.0,9.2.0,mpiuni/vnone,none,g,Linux,4.7.2,4.5.2,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/2d53723a7f4073a5ed0144b56fbb6127cf7e32b0/develop/hera/gfortran/9.2.0/g/mpiuni/none),2022-03-09 16:10:03.485749,c4.7.2 fnone
develop,hera,gfortran/v9.2.0,9.2.0,openmpi/v3.1.4,3.1.4,O,Linux,4.7.2,4.5.2,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/d5ff99d6538abccbe18aecb5f3ccc362fd9ee858/develop/hera/gfortran/9.2.0/O/openmpi/3.1.4),2022-03-09 16:10:03.485728,c4.7.2 f3.1.4
develop,hera,gfortran/v9.2.0,9.2.0,openmpi/v3.1.4,3.1.4,g,Linux,4.7.2,4.5.2,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/501c53508fcfe7908c38e52a5498cb617c757ef3/develop/hera/gfortran/9.2.0/g/openmpi/3.1.4),2022-03-09 16:10:03.485736,c4.7.2 f3.1.4
develop,hera,gfortran/v9.2.0b,9.2.0b,intelmpi/v2020,2020,O,Linux,N/A,N/A,pass,0,8807,0,49,0,80,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/72896b78d1b01fbfb6b7b7288ac2c8e29007b9a8/develop/hera/gfortran/9.2.0b/O/intelmpi/2020),2022-03-09 16:10:03.485744,cN/A f2020
develop,hera,intel/v18.0.4,18.0.4,intelmpi/v2018.4.274,2018.4.274,O,Linux,4.7.0,4.4.5,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/88829ccbc20405de18c8d28f8023cbb100683fd7/develop/hera/intel/18.0.4/O/intelmpi/2018.4.274),2022-03-09 16:10:03.485739,c4.7.0 f2018.4.274
develop,hera,intel/v18.0.4,18.0.4,intelmpi/v2018.4.274,2018.4.274,g,Linux,4.7.0,4.4.5,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f442d8b0d3c9e00107d631bc4e441fc5f6817ce5/develop/hera/intel/18.0.4/g/intelmpi/2018.4.274),2022-03-09 16:10:03.485703,c4.7.0 f2018.4.274
develop,hera,intel/v18.0.4,18.0.4,mpiuni/vnone,none,O,Linux,4.7.0,4.4.5,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/fdedfa47dae9e4ce2f61a3f6236ba761ec6202f5/develop/hera/intel/18.0.4/O/mpiuni/none),2022-03-09 16:10:03.485741,c4.7.0 fnone
develop,hera,intel/v18.0.4,18.0.4,mpiuni/vnone,none,g,Linux,4.7.0,4.4.5,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7e3a54366867ee55a628c7370e87df4babb39eb8/develop/hera/intel/18.0.4/g/mpiuni/none),2022-03-09 16:10:03.485733,c4.7.0 fnone
develop,hera,pgi/v18.1,18.1,intelmpi/v2018.0.4,2018.0.4,O,Linux,N/A,N/A,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5edc7ceeba342662c3998a1b787c7602fad80118/develop/hera/pgi/18.1/O/intelmpi/2018.0.4),2022-03-09 16:10:03.485746,cN/A f2018.0.4
develop,hera,pgi/v18.1,18.1,intelmpi/v2018.0.4,2018.0.4,g,Linux,N/A,N/A,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/777ba67e4735d10864b3ff6ac558ca7be52e8fc5/develop/hera/pgi/18.1/g/intelmpi/2018.0.4),2022-03-09 16:10:03.485731,cN/A f2018.0.4
develop,jet,intel/v2020.2,2020.2,intelmpi/v2020.2,2020.2,g,Linux,4.7.0,4.4.5,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/21866b1cb4f2790b631349e6846ac4513f840efc/develop/jet/intel/2020.2/g/intelmpi/2020.2),2022-03-09 15:57:45.951377,c4.7.0 f2020.2
develop,jet,intel/v2020.2,2020.2,mvapich2/v2.3,2.3,O,Linux,4.7.0,4.4.5,pass,pending,pending,pending,pending,pending,pending,pending,pending,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/79187462b8eeedeb01c32ce1369b9dffb0c770ed/develop/jet/intel/2020.2/O/mvapich2/2.3),2022-03-09 15:57:45.951397,c4.7.0 f2.3
develop,orion,gfortran/v8.3.0,8.3.0,mpiuni/vnone,none,O,Linux,4.7.4,4.5.3,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/aedfa957dee1ca393188fe7e160e1364c05d702f/develop/orion/gfortran/8.3.0/O/mpiuni/none),2022-03-09 15:57:47.929559,c4.7.4 fnone
develop,orion,gfortran/v8.3.0,8.3.0,mpiuni/vnone,none,g,Linux,4.7.4,4.5.3,pass,12158,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/0e7d2b54d9d57612ad26215e151e5b6d80a354cf/develop/orion/gfortran/8.3.0/g/mpiuni/none),2022-03-09 15:57:47.929551,c4.7.4 fnone
develop,orion,gfortran/v8.3.0,8.3.0,openmpi/v4.0.2,4.0.2,O,Linux,4.7.4,4.5.3,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f4a23caf5c69498b8182341430319116ad0db6ce/develop/orion/gfortran/8.3.0/O/openmpi/4.0.2),2022-03-09 15:57:47.929526,c4.7.4 f4.0.2
develop,orion,gfortran/v8.3.0,8.3.0,openmpi/v4.0.2,4.0.2,g,Linux,4.7.4,4.5.3,pass,13685,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/99bc0348f720542a9e8e94bdf56750286efa0629/develop/orion/gfortran/8.3.0/g/openmpi/4.0.2),2022-03-09 15:57:47.929547,c4.7.4 f4.0.2
develop,orion,intel/v2020,2020,intelmpi/v2020.2,2020.2,O,Linux,4.7.4,4.5.3,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/881985ab9c7a5adb0577e1ef84949a02e1da92fd/develop/orion/intel/2020/O/intelmpi/2020.2),2022-03-09 15:57:47.929556,c4.7.4 f2020.2
develop,orion,intel/v2020,2020,intelmpi/v2020.2,2020.2,g,Linux,4.7.4,4.5.3,pass,fail,fail,fail,fail,fail,fail,0,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/832a8af31c0c350c2f4170a2b3b4e42b0cf010c5/develop/orion/intel/2020/g/intelmpi/2020.2),2022-03-09 15:57:47.929554,c4.7.4 f2020.2
